Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
86,Kyle Lowry,2018-19,32,TOR,NBA,47,.559,14.3,47,1615,16.9,.605,.271,2.0,11.8,7.0,36.5,1.9,1.3,17.7,19.3,116,108,3.0,2.0,5.0,.148,2.8,0.2,3.0,2.0
87,Kelly Oubre,2018-19,23,TOT,NBA,57,.548,14.1,7,1540,14.6,.417,.295,3.9,14.9,9.3,6.5,1.8,2.6,9.4,22.6,105,113,0.7,1.0,1.7,.053,-1.1,-1.3,-2.5,-0.2
88,Jabari Parker,2018-19,23,TOT,NBA,43,.545,14.1,17,1154,14.8,.250,.237,4.2,21.6,12.8,14.9,1.2,1.3,14.5,24.7,100,112,-0.1,0.9,0.8,.033,-1.9,-0.6,-2.5,-0.1
89,Domantas Sabonis,2018-19,22,IND,NBA,56,.649,14.1,5,1386,22.5,.027,.404,11.4,29.7,20.8,17.2,1.3,1.6,16.7,23.0,120,102,3.5,2.7,6.3,.217,1.8,2.4,4.1,2.2
90,Enes Kanter,2018-19,26,NYK,NBA,44,.585,14.0,23,1128,21.9,.047,.276,15.3,28.0,21.4,12.9,0.8,1.3,13.1,22.7,117,112,2.5,0.9,3.4,.146,1.2,-0.1,1.1,0.9
91,Dwyane Wade,2018-19,37,MIA,NBA,46,.512,14.0,0,1169,15.4,.296,.257,3.8,11.9,7.9,27.9,1.3,1.6,14.2,26.7,103,109,0.3,1.3,1.6,.066,-0.2,-0.4,-0.6,0.4
92,Joe Harris,2018-19,27,BRK,NBA,54,.645,13.9,54,1626,13.8,.516,.155,2.3,10.7,6.5,13.1,0.8,0.4,12.8,17.2,120,114,2.9,1.0,3.9,.116,1.8,-1.1,0.8,1.1
93,Jaren Jackson,2018-19,19,MEM,NBA,58,.591,13.8,56,1515,16.6,.241,.334,5.4,15.3,10.2,7.4,1.7,5.2,12.7,23.2,107,106,1.2,2.3,3.5,.110,-1.3,1.6,0.3,0.9
94,Dennis Smith,2018-19,21,TOT,NBA,39,.517,13.7,39,1126,12.5,.328,.274,2.3,8.7,5.5,25.8,2.2,1.0,18.4,23.9,98,110,-0.5,1.1,0.6,.025,-1.5,-0.4,-1.9,0.0
95,Otto Porter,2018-19,25,TOT,NBA,45,.571,13.5,32,1330,15.9,.390,.146,3.9,17.4,10.5,9.9,2.4,1.5,8.3,18.7,111,111,1.4,1.2,2.6,.094,0.3,0.1,0.4,0.8
96,Myles Turner,2018-19,22,IND,NBA,53,.578,13.5,53,1495,18.8,.219,.230,5.4,21.9,13.8,8.6,1.3,8.7,10.6,20.2,111,100,1.6,3.4,5.0,.160,-1.2,5.0,3.8,2.2
97,Taurean Waller-Prince,2018-19,24,ATL,NBA,37,.574,13.4,29,1021,11.8,.540,.186,1.7,12.8,7.2,10.2,1.7,1.2,14.5,20.1,104,115,0.3,0.5,0.8,.038,-0.7,-1.5,-2.2,-0.1
98,Marvin Bagley,2018-19,19,SAC,NBA,43,.568,13.3,1,1040,17.7,.128,.392,9.8,19.8,14.7,5.8,1.0,3.4,12.2,22.8,110,110,1.1,1.1,2.3,.104,-1.6,-0.3,-1.9,0.0
99,Robert Covington,2018-19,28,TOT,NBA,35,.580,13.3,35,1203,13.4,.622,.246,2.5,14.7,8.6,5.3,2.9,3.2,10.5,15.6,111,107,1.0,1.7,2.7,.106,0.6,2.1,2.7,1.4
100,Jerami Grant,2018-19,24,OKC,NBA,55,.604,13.1,52,1774,14.1,.323,.312,3.3,13.2,8.2,3.9,1.3,3.5,7.3,14.7,120,107,2.8,2.5,5.2,.142,-0.7,1.4,0.7,1.2
