,GAME_ID,EVENTNUM,EVENTMSGTYPE,PERSON1TYPE,TIMEOUT_TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
10386,21900687,678,9,2.0,1610612737,Atlanta Hawks,ATL
10403,21900687,706,9,2.0,1610612737,Atlanta Hawks,ATL
10425,21900687,734,9,3.0,1610612764,Washington Wizards,WAS
10466,21900677,34,9,3.0,1610612737,Atlanta Hawks,ATL
10504,21900677,89,9,2.0,1610612760,Oklahoma City Thunder,OKC
10568,21900677,179,9,3.0,1610612737,Atlanta Hawks,ATL
10596,21900677,219,9,3.0,1610612737,Atlanta Hawks,ATL
10696,21900677,372,9,2.0,1610612760,Oklahoma City Thunder,OKC
10752,21900677,455,9,3.0,1610612737,Atlanta Hawks,ATL
10777,21900677,488,9,2.0,1610612760,Oklahoma City Thunder,OKC
10807,21900677,535,9,3.0,1610612737,Atlanta Hawks,ATL
10831,21900677,570,9,2.0,1610612760,Oklahoma City Thunder,OKC
10847,21900677,591,9,2.0,1610612760,Oklahoma City Thunder,OKC
10872,21900677,625,9,3.0,1610612737,Atlanta Hawks,ATL
10934,21900656,14,9,3.0,1610612746,Los Angeles Clippers,LAC
10987,21900656,86,9,2.0,1610612737,Atlanta Hawks,ATL
11083,21900656,224,9,2.0,1610612737,Atlanta Hawks,ATL
11125,21900656,285,9,3.0,1610612746,Los Angeles Clippers,LAC
11229,21900656,431,9,3.0,1610612746,Los Angeles Clippers,LAC
11277,21900656,496,9,2.0,1610612737,Atlanta Hawks,ATL
11303,21900656,532,9,2.0,1610612737,Atlanta Hawks,ATL
11366,21900656,621,9,3.0,1610612746,Los Angeles Clippers,LAC
11411,21900656,682,9,2.0,1610612737,Atlanta Hawks,ATL
11417,21900656,693,9,2.0,1610612737,Atlanta Hawks,ATL
11428,21900656,708,9,3.0,1610612746,Los Angeles Clippers,LAC
11442,21900656,728,9,3.0,1610612746,Los Angeles Clippers,LAC
11454,21900656,743,9,2.0,1610612737,Atlanta Hawks,ATL
11456,21900656,746,9,3.0,1610612746,Los Angeles Clippers,LAC
11484,21900640,26,9,2.0,1610612737,Atlanta Hawks,ATL
11557,21900640,133,9,3.0,1610612761,Toronto Raptors,TOR
11643,21900640,260,9,2.0,1610612737,Atlanta Hawks,ATL
11669,21900640,294,9,2.0,1610612737,Atlanta Hawks,ATL
11747,21900640,407,9,3.0,1610612761,Toronto Raptors,TOR
11813,21900640,504,9,3.0,1610612761,Toronto Raptors,TOR
11872,21900640,587,9,2.0,1610612737,Atlanta Hawks,ATL
11908,21900640,638,9,2.0,1610612737,Atlanta Hawks,ATL
11923,21900640,663,9,3.0,1610612761,Toronto Raptors,TOR
11950,21900640,700,9,3.0,1610612761,Toronto Raptors,TOR
11951,21900640,702,9,2.0,1610612737,Atlanta Hawks,ATL
12004,21900640,779,9,2.0,1610612737,Atlanta Hawks,ATL
12060,21900629,73,9,2.0,1610612737,Atlanta Hawks,ATL
12093,21900629,127,9,3.0,1610612765,Detroit Pistons,DET
12161,21900629,247,9,2.0,1610612737,Atlanta Hawks,ATL
12203,21900629,307,9,3.0,1610612765,Detroit Pistons,DET
12255,21900629,384,9,2.0,1610612737,Atlanta Hawks,ATL
12335,21900629,495,9,3.0,1610612765,Detroit Pistons,DET
12376,21900629,561,9,2.0,1610612737,Atlanta Hawks,ATL
12412,21900629,612,9,3.0,1610612765,Detroit Pistons,DET
12417,21900629,618,9,2.0,1610612737,Atlanta Hawks,ATL
12514,21900624,62,9,2.0,1610612759,San Antonio Spurs,SAS
12561,21900624,124,9,3.0,1610612737,Atlanta Hawks,ATL
12627,21900624,215,9,2.0,1610612759,San Antonio Spurs,SAS
12650,21900624,249,9,3.0,1610612737,Atlanta Hawks,ATL
12746,21900624,389,9,3.0,1610612737,Atlanta Hawks,ATL
12786,21900624,449,9,3.0,1610612737,Atlanta Hawks,ATL
12813,21900624,485,9,3.0,1610612737,Atlanta Hawks,ATL
12873,21900624,574,9,2.0,1610612759,San Antonio Spurs,SAS
