Rk,Player,Season,Age,Tm,Lg,MP,G,BPM,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,VORP
87,Wendell Carter,2018-19,19,CHI,NBA,25.2,44,-0.5,44,1110,15.4,.086,.302,8.4,21.7,15.0,11.2,1.1,4.5,13.4,19.4,106,110,0.6,1.2,1.9,.081,-2.5,2.1,0.4
88,Chris Duhon,2004-05,22,CHI,NBA,26.5,82,-0.5,73,2177,9.8,.543,.137,1.2,9.7,5.5,28.6,2.0,0.1,18.7,13.1,102,102,0.8,3.3,4.1,.090,-1.2,0.8,0.8
89,Kirk Hinrich,2003-04,23,CHI,NBA,35.6,76,-0.5,66,2706,13.1,.448,.204,1.7,9.0,5.2,32.5,1.9,0.6,18.5,18.2,101,105,2.1,1.9,4.1,.072,0.8,-1.3,1.0
90,Jameer Nelson,2004-05,22,ORL,NBA,20.4,79,-0.5,21,1612,14.5,.225,.170,3.7,9.7,6.7,24.8,2.5,0.1,14.8,21.4,103,108,1.2,1.3,2.5,.074,0.7,-1.3,0.6
91,Jonas Valanciunas,2012-13,20,TOR,NBA,23.9,62,-0.5,57,1482,15.6,.000,.505,9.6,20.5,14.9,5.0,0.6,4.2,17.4,16.9,113,106,2.5,1.5,3.9,.127,-1.3,0.9,0.6
92,Leandro Barbosa,2003-04,21,PHO,NBA,21.4,70,-0.6,46,1500,12.7,.447,.130,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,100,106,0.9,1.0,1.9,.061,0.4,-1.0,0.5
93,Taj Gibson,2009-10,24,CHI,NBA,26.9,82,-0.6,70,2204,13.8,.000,.278,11.6,19.2,15.4,5.0,1.2,3.6,13.9,16.7,104,103,1.2,3.5,4.7,.103,-2.3,1.8,0.8
94,Ben Gordon,2004-05,21,CHI,NBA,24.4,82,-0.6,3,2002,14.9,.313,.256,3.1,8.9,6.0,16.3,1.4,0.4,13.7,30.4,100,103,0.8,2.7,3.5,.084,0.7,-1.3,0.7
95,Sarunas Jasikevicius,2005-06,29,IND,NBA,20.8,75,-0.6,15,1557,12.9,.550,.310,1.5,9.6,5.7,24.4,1.4,0.2,19.2,18.0,107,106,1.6,1.7,3.3,.103,0.3,-0.9,0.6
96,Derrick Rose,2008-09,20,CHI,NBA,37.0,81,-0.6,80,3000,16.0,.060,.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,108,113,3.4,1.5,4.9,.078,0.9,-1.5,1.1
97,Justise Winslow,2015-16,19,MIA,NBA,28.6,78,-0.6,8,2232,8.4,.251,.253,4.2,15.8,10.2,7.4,1.6,0.9,15.6,12.5,97,105,-0.2,2.7,2.5,.054,-2.2,1.6,0.8
98,D.J. Augustin,2008-09,21,CHA,NBA,26.5,72,-0.7,12,1908,14.9,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,115,110,3.6,1.5,5.1,.128,1.6,-2.3,0.6
99,Yogi Ferrell,2016-17,23,TOT,NBA,26.0,46,-0.7,29,1197,13.1,.447,.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6,106,111,0.8,1.0,1.8,.072,-0.1,-0.6,0.4
100,Elfrid Payton,2014-15,20,ORL,NBA,30.4,82,-0.7,63,2489,13.8,.059,.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,97,107,0.0,2.3,2.3,.044,-1.5,0.8,0.8
